Left Eye,Right Eye,Nose,Left Mouth,Right Mouth
0,1,1,2.236068,1
1,1,1,1,1.414214
1,1,1,1,1.414214
0,1,1,1.414214,1
1.414214,1,2.236068,1,2.236068
2.236068,1.414214,2.236068,4.472136,3.605551
1.414214,2,2,1.414214,2.236068
1.414214,1.414214,0,1.414214,0
1.414214,5.09902,4.472136,1.414214,6.082763
1.414214,1,1.414214,2,1
1.414214,2.236068,2,1,1
1.414214,1,1,1,1
1.414214,1,1.414214,1,1
1,0,0,0,0
1.414214,1,1.414214,1,1
1.414214,1,1,1,2
1.414214,1.414214,2.236068,1.414214,1
1.414214,0,1.414214,0,2.236068
0,0,0,0,0
1.414214,1,1,0,2
0,3.162278,4.472136,3,2.236068
1.414214,2.236068,2.236068,0,1
1.414214,1,0,1,1
1.414214,1.414214,2,2.236068,1.414214
1.414214,1,1.414214,0,1.414214
1.414214,1,3.162278,1,1.414214
1.414214,2.828427,2,2,2.236068
1,1.414214,0,2,1
1.414214,1.414214,2,1.414214,1.414214
1.414214,0,0,0,1
1.414214,0,1.414214,1.414214,0
1.414214,0,1.414214,1,1.414214
1.414214,1,2.828427,2.236068,2.236068
1.414214,1,1.414214,1,1
5.09902,3.605551,3.162278,4.472136,9.219544
1.414214,1,2,1.414214,2
1.414214,1,3.162278,2,1.414214
1,2.236068,1.414214,2,1
1.414214,2,6.324555,1,2.828427
1,1,2.828427,1,0
1,2.236068,1.414214,1,1
1.414214,1,3,1.414214,1.414214
1.414214,1.414214,1,1,0
1.414214,1,1.414214,0,1
1.414214,2.828427,2.236068,1.414214,1.414214
1,1.414214,2,1,1.414214
1.414214,1,4.123106,1,1.414214
1.414214,2.828427,4.472136,3,3.605551
1,1,2.236068,0,3
1.414214,1.414214,1,1.414214,1
1.414214,1,1,3.162278,1
1.414214,1,1,3.162278,1
1,1.414214,1,1,3
1.414214,0,1,1,1
1.414214,1.414214,1,1,0
1.414214,1,1,0,1
1.414214,1,0,1,1
1.414214,1.414214,2.236068,1,1
1.414214,1,2.828427,1,0
1.414214,1,1.414214,1.414214,0
1.414214,1,3.162278,4.472136,3.605551
1.414214,0,2,1,0
1,2.236068,3.162278,1.414214,3
1.414214,1,0,0,1
1.414214,0,1,1,2.236068
1.414214,0,2,1,2.236068
1.414214,1,0,1,1
1,1.414214,1,2.828427,1
1.414214,0,1,1,1
1.414214,0,1.414214,1,1
1.414214,1.414214,2.236068,1.414214,2
1,1,0,2.828427,1
1.414214,2,1.414214,1,1
1.414214,1.414214,1,0,2
1,0,1,2.236068,1.414214
1.414214,1,0,0,1.414214
1,1,1.414214,0,1
1,5.09902,3.605551,1,2
1.414214,1,0,1,1.414214
1.414214,1,1,1,2
1.414214,1.414214,1.414214,1,1
1,1,1.414214,0,1.414214
0,0,2,1.414214,1
1.414214,1,2,0,1
1.414214,1,1.414214,2.236068,1
1,1.414214,1.414214,1,1.414214
1,1.414214,0,1,1.414214
1.414214,1,1,2.236068,1
1.414214,2.236068,1.414214,3.162278,0
1.414214,1.414214,1,2.236068,1
0,2,3.162278,2,1.414214
1,1,0,1,2.236068
1.414214,1,1,1,1.414214
1.414214,1.414214,2,1,1.414214
1.414214,0,0,1,1
1,2,5.09902,0,2.236068
1.414214,1.414214,3.605551,1,1.414214
1,2.236068,5.09902,0,2.236068
1,2,1,2,2.236068
1.414214,2,1,1.414214,1
